iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,Unnamed: 67
KIR,Oceania,Kiribati,2021-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
KIR,Oceania,Kiribati,2021-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,,
